Transecta	Año	Punto	x	y	Sustrato	Hojarasca	Arbt	Arbo	sp	Estado	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	tq_s	tq_a
4	1943	3	4	0	H	5.5	2	26.2	Blinearifolia	Vivo	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
4	1943	4	6	0	H	4	5	22.48	Laura	Vivo	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	3
4	1943	4	6	0	H	4	5	22.48	Ca?	Seco	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
4	1943	5	8	0	H	5.5	0	21.45	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	1943	6	10	0	H	2	0	14.4	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	1943	7	12	0	H	3.5	2.7	24.4	Blinearifolia	Seco	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0
4	1943	8	14	0	T	0	2.5	6.78	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	1943	9	16	0	H	1	0.8	7.23	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	1943	10	18	0	H	3	2.5	26.16	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	1943	11	20	0	H	4.5	2	26.7	Blinearifolia	Seco	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0
4	1943	11	20	0	H	4.5	2	26.7	Ca?	Seco	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
4	1943	12	22	0	H	5	3	20.3	Ca?	Seco	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
4	1943	13	24	0	H	3.5	0	26.63	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	1943	14	26	0	H	4	0.3	21.54	Adenocaulon	Seco	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
4	1943	15	28	0	H	3	2.4	24.34	Osmorhyza	Vivo	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
4	1943	16	30	0	H	3.5	0	24.02	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	1943	17	32	0	H	3	0	23	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	1943	18	34	0	H	3.5	1.6	23.98	Adenocaulon	Vivo	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
4	1943	18	34	0	H	3.5	1.6	23.98	Ca?	Vivo	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
4	1943	18	34	0	H	3.5	1.6	23.98	Ca?	Seco	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
4	1943	19	36	0	H	2.5	0	25.81	Osmorhyza	Vivo	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
4	1943	20	38	0	H	3.5	0	17.48	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	1943	21	40	0	H	2	0	26.64	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	1943	22	42	0	H	3.5	0	24.22	Adenocaulon	Vivo	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
4	1943	23	44	0	H	3	0	25.91	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	1943	24	46	0	H	3.5	0	21.5	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	1943	25	48	0	H	2	5	21.32	Coihue	Vivo	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	2
4	1943	26	50	0	H	3	5	22.68	Coihue	Seco	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1
4	1943	27	52	0	H	3	0	22.81	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	1943	28	54	0	M	0	0	23.56	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	1943	29	56	0	H	2	0	17.9	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	1943	30	58	0	H	2	0	20.73	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	1943	31	60	0	H	1.5	0	20.57	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	1950	1	0	0	H	0.5	4.5	18.4	Ca?	Seco	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0
5	1950	1	0	0	H	0.5	4.5	18.4	Ca?	Vivo	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	2
5	1950	2	2	0	H	1	2.63	18.98	Ca?	Vivo	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0
5	1950	2	2	0	H	1	2.63	18.98	Ca?	Seco	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1
5	1950	3	4	0	H	1	4.25	17.23	Ca?	Vivo	0	0	0	0	1	1	1	0	0	0	0	0	1	1	0	1	3	3
5	1950	4	6	0	H	0.5	2.3	17.11	Ca?	Seco	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0
5	1950	5	8	0	H	0.5	3	17.27	Chaura	Vivo	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
5	1950	5	8	0	H	0.5	3	17.27	Ca?	Seco	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0
5	1950	5	8	0	H	0.5	3	17.27	Ca?	Vivo	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	1
5	1950	6	10	0	H	1.5	3.5	18.18	Ca?	Seco	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
